userId,movieId
0.0,2752.0
0.0,2519.0
0.0,3084.0
0.0,5887.0
1.0,5221.0
1.0,30.0
1.0,311.0
2.0,5049.0
2.0,1540.0
2.0,566.0
3.0,1739.0
3.0,1677.0
3.0,2318.0
3.0,5103.0
3.0,4917.0
3.0,5142.0
3.0,2298.0
3.0,2735.0
3.0,700.0
3.0,5754.0
4.0,5296.0
4.0,5937.0
4.0,1355.0
4.0,2807.0
5.0,5538.0
5.0,1223.0
5.0,4716.0
5.0,77.0
5.0,3470.0
5.0,464.0
5.0,3249.0
5.0,5522.0
5.0,4339.0
5.0,3832.0
5.0,1593.0
5.0,273.0
5.0,4095.0
6.0,3459.0
6.0,2441.0
6.0,5272.0
6.0,3395.0
6.0,2869.0
6.0,4758.0
6.0,1944.0
6.0,2203.0
6.0,3228.0
6.0,1182.0
6.0,1567.0
6.0,5153.0
6.0,3750.0
6.0,1959.0
6.0,3880.0
6.0,3882.0
6.0,4524.0
6.0,1454.0
6.0,692.0
6.0,3166.0
6.0,1853.0
6.0,2165.0
6.0,5314.0
6.0,3147.0
6.0,3402.0
6.0,715.0
6.0,3916.0
6.0,2639.0
6.0,2257.0
6.0,5338.0
6.0,1245.0
6.0,2270.0
6.0,994.0
6.0,228.0
6.0,2278.0
6.0,999.0
6.0,4925.0
6.0,5104.0
6.0,2929.0
6.0,2220.0
6.0,884.0
6.0,3829.0
6.0,892.0
6.0,4734.0
7.0,5600.0
7.0,3297.0
7.0,4939.0
7.0,5508.0
7.0,230.0
7.0,999.0
7.0,3243.0
7.0,1262.0
7.0,4081.0
7.0,2691.0
7.0,1145.0
7.0,5208.0
7.0,1668.0
7.0,2523.0
7.0,3135.0
8.0,4361.0
8.0,2027.0
8.0,2316.0
8.0,1331.0
8.0,2777.0
8.0,5784.0
8.0,4569.0
8.0,474.0
8.0,1343.0
9.0,707.0
9.0,2004.0
9.0,3325.0
9.0,5795.0
10.0,3623.0
10.0,3434.0
10.0,1831.0
10.0,5357.0
10.0,3886.0
10.0,1103.0
10.0,4915.0
10.0,5492.0
10.0,1966.0
10.0,3061.0
11.0,3008.0
11.0,3936.0
11.0,3813.0
11.0,2662.0
11.0,2240.0
11.0,2998.0
11.0,695.0
12.0,688.0
12.0,1311.0
12.0,5301.0
12.0,215.0
13.0,3268.0
13.0,5383.0
13.0,4041.0
13.0,4231.0
13.0,3223.0
13.0,1246.0
14.0,512.0
14.0,1537.0
14.0,2434.0
